nodeID1,nodeID2,utilisation
8026,2729,3982
8026,8026,0
8026,1137,0
1138,1138,0
1138,2899,2044
1138,4670,1955
2899,6874,2044
2899,2899,0
2899,1138,1955
4670,1138,1984
4670,6394,0
4670,4670,0
1139,3195,2061
1139,1139,0
3195,4424,2061
3195,1139,4171
3195,3195,0
1140,4827,2030
1140,1140,0
4827,5251,14129
4827,8682,4059
4827,7661,42191
4827,9200,7969
4827,914,22152
4827,5748,5980
4827,1140,0
4827,4827,0
1143,1143,0
1146,5513,2075
1146,1146,0
1146,7273,4125
5513,5513,0
5513,1146,2041
5513,6230,2075
7273,7273,0
7273,1146,2075
1149,1149,0
1149,4509,0
1149,8855,4098
4509,4509,0
4509,1149,2059
4509,862,0
8855,7939,5986
8855,3,2000
8855,9042,20324
8855,1171,10043
8855,8855,0
8855,1149,0
1151,4643,0
1151,596,3990
1151,1151,0
1151,5471,0
596,4643,0
596,2459,6011
596,596,0
596,1151,1969
5471,8072,0
5471,4643,0
5471,1151,1965
5471,5471,0
1154,2994,6071
1154,1154,0
1154,6263,1949
2994,2994,0
2994,1154,5922
2994,1317,8033
2994,3102,3986
6263,1154,4056
6263,4963,3922
6263,6263,0
1155,5905,1999
1155,1155,0
5905,5905,0
5905,1155,0
5905,2287,3950
1156,1254,0
1156,1156,0
1156,6782,4062
1254,1156,2087
1254,1254,0
6782,1156,0
6782,4518,20149
6782,6759,5959
6782,3590,0
6782,7853,9930
6782,6803,2116
6782,5878,2054
6782,7254,0
6782,4822,1971
6782,6782,0
1157,3003,0
1157,1861,22082
1157,1157,0
1157,6959,12051
1861,1861,0
1861,1157,12051
1861,7502,22082
6959,5888,12051
6959,1157,22082
6959,6959,0
1163,3041,9925
1163,5418,7933
1163,4643,0
1163,1163,0
3041,3041,0
3041,4643,0
3041,1163,7933
3041,6940,9925
5418,4643,0
5418,5418,0
5418,1163,8003
5418,4921,0
5418,3162,14104
5418,860,0
5418,1754,0
1165,8162,8046
1165,1165,0
1165,3950,2041
8162,8162,0
8162,7332,7992
8162,1165,2041
3950,9088,4093
3950,1165,6150
3950,3950,0
1166,3931,0
1166,6195,1956
1166,1166,0
1166,6975,6038
6195,4321,1956
6195,3931,0
6195,6195,0
6195,1166,6049
6975,3931,0
6975,1166,1956
6975,6975,0
117,7050,4068
117,9107,1971
117,117,0
7050,1425,4068
7050,7050,0
7050,117,1971
9107,9107,0
9107,117,4042
9107,518,1971
1170,1170,0
1170,2765,2029
1170,3079,2093
2765,1170,2013
2765,2765,0
2765,2527,3975
3079,1170,2029
3079,3079,0
1171,1171,0
1171,8855,2010
1172,4467,6013
1172,1172,0
1172,3671,2035
4467,889,6013
4467,4467,0
4467,1172,2035
3671,2227,2035
3671,1172,4001
3671,3671,0
1175,841,0
1175,6098,8130
1175,1175,0
841,841,0
841,1175,8130
1176,1176,0
1176,9074,2073
9074,808,1978
9074,9074,0
9074,1176,0
9074,8551,12078
1177,1177,0
1177,127,2021
127,449,1969
127,7843,110640
127,7012,0
127,421,0
127,6118,2012
127,8615,0
127,4425,27897
127,1449,0
127,3502,0
127,1744,5960
127,432,0
127,7795,8126
127,6675,0
127,6580,0
127,1177,0
127,8798,7967
127,127,0
1179,1179,0
1179,4134,1955
4134,1179,0
4134,4134,0
118,7122,2073
118,7778,1997
118,118,0
7122,7122,0
7122,8730,2037
7778,7145,1918
7778,7778,0
7778,118,0
1180,1180,0
1180,9119,0
9119,1180,0
9119,2774,1947
9119,9119,0
1183,5178,1996
1183,1183,0
5178,1698,1996
5178,5178,0
5178,1183,0
1184,1184,0
1184,5495,1990
5495,1184,0
5495,3846,0
5495,1866,4018
5495,6127,8115
5495,1872,78854
5495,1488,28212
5495,6227,4055
5495,1334,6021
5495,5495,0
1187,1187,0
1187,1508,6010
1187,4311,3986
1508,2017,0
1508,1187,1961
1508,1508,0
1508,229,8082
1508,307,167293
1508,3449,2006
1508,1498,26311
4311,8146,1961
4311,1187,6010
4311,4311,0
1188,4923,2049
1188,1188,0
1188,902,0
4923,4923,0
4923,1188,0
4923,4287,3989
902,8736,1949
902,1188,4015
902,902,0
1190,3931,0
1190,6595,0
1190,1190,0
1190,1223,4103
6595,3931,0
6595,6595,0
6595,1190,2066
1223,3931,0
1223,3045,6121
1223,1190,0
1223,1223,0
1194,6296,2065
1194,1194,0
1194,5743,8087
6296,6296,0
6296,1194,7980
6296,9100,2065
5743,1209,3902
5743,1194,4084
5743,5743,0
1195,4643,0
1195,1195,0
1195,8559,1996
8559,4643,0
8559,1195,0
8559,636,1996
8559,8559,0
1197,1197,0
1197,4151,1998
4151,6442,1998
4151,1197,2039
4151,4151,0
1199,2217,3949
1199,2154,0
1199,1199,0
2217,2153,3984
2217,2217,0
2217,1199,0
12,8064,4107
12,12,0
8064,8064,0
8064,8032,6078
8064,6818,0
8064,6245,9985
8064,5751,0
8064,12,1961
8064,3827,62497
8064,2678,86582
8064,2391,0
8064,8153,0
8064,6333,0
8064,3231,2003
120,208,2043
120,120,0
208,208,0
208,8731,4071
208,120,4142
1201,1201,0
1201,4518,2003
4518,5247,1996
4518,5698,2004
4518,4518,0
4518,7450,8112
4518,364,13874
4518,1484,2049
4518,6543,2054
4518,399,0
4518,1201,2017
4518,4111,0
4518,2933,81093
4518,8378,1972
4518,6782,10072
4518,1343,0
1203,9219,1947
1203,1203,0
9219,6720,1947
9219,9219,0
9219,1203,12073
1205,8449,2039
1205,1205,0
8449,8449,0
8449,1205,2014
1206,5650,2060
1206,4643,0
1206,1206,0
5650,5650,0
5650,4643,0
5650,7421,2060
5650,1206,2036
1207,2401,12052
1207,4750,2040
1207,1207,0
2401,2401,0
2401,133,10000
2401,1207,2040
4750,5732,4191
4750,4750,0
4750,1207,4055
1208,1208,0
1208,7740,0
7740,1208,0
7740,1408,0
7740,7740,0
7740,5405,0
1209,8424,0
1209,1209,0
1209,5743,2019
8424,8424,0
8424,1209,2019
8424,23,0
121,121,0
121,4084,6132
121,228,2003
4084,121,2003
4084,5514,1974
4084,4084,0
228,121,4004
228,3778,0
228,228,0
1213,193,2079
1213,1213,0
1213,3166,3969
193,193,0
193,4876,2079
193,1213,2026
3166,1213,2079
3166,3166,0
1215,2203,1940
1215,4397,5956
1215,1215,0
2203,2443,1940
2203,2203,0
2203,1215,6094
4397,4397,0
4397,3870,5956
4397,1215,3950
1216,1216,0
1216,3386,2003
3386,1216,0
3386,3386,0
3386,6917,3955
1217,1217,0
1217,3931,0
1217,5323,8027
1217,3829,2033
5323,1217,6068
5323,3931,0
5323,5323,0
5323,780,8027
3829,1217,6078
3829,8666,2033
3829,3931,0
3829,3829,0
1218,7848,2051
1218,1218,0
1218,1557,3975
7848,7848,0
7848,1218,5923
7848,8166,3993
1557,1218,0
1557,4611,3927
1557,1557,0
1219,1219,0
1219,3870,1985
3870,1698,54623
3870,1315,0
3870,1219,0
3870,4421,3968
3870,4905,48786
3870,5930,3916
3870,4397,1940
3870,2705,52958
3870,2770,62675
3870,6681,14062
3870,3931,0
3870,8828,0
3870,8701,39876
3870,3870,0
4634,4643,0
4634,122,4023
4634,4634,0
4634,7565,3998
5672,1220,0
5672,9189,8035
5672,3003,0
5672,5672,0
5672,5329,6149
5672,2230,6106
5672,4598,5955
5672,2682,1995
5672,5211,2024
5672,5374,18024
3045,3931,0
3045,59,8061
3045,3045,0
3045,1223,0
1226,1226,0
1226,8387,2042
8387,1226,0
8387,8515,4084
8387,8387,0
1227,5761,2003
1227,5546,1982
1227,1227,0
5761,5761,0
5761,1227,3998
5761,733,2003
5546,5546,0
5546,1227,2003
5546,3994,0
1228,7128,2037
1228,1228,0
7128,7128,0
7128,1228,2048
1229,3003,0
1229,3012,5918
1229,1229,0
1229,6430,0
3012,9146,0
3012,3012,0
3012,6823,0
3012,3848,0
3012,6535,0
3012,2666,0
3012,585,1952
3012,1229,0
3012,4559,0
3012,6865,0
3012,5523,0
3012,6293,0
3012,5173,0
3012,6681,0
3012,6490,38075
3012,3003,0
3012,2877,0
6430,6438,0
6430,3003,0
6430,1229,3953
6430,6430,0
1231,6490,2085
1231,3003,0
1231,1231,0
6490,3012,0
6490,2372,0
6490,4522,48293
6490,1231,0
6490,6490,0
6490,3003,0
1232,1232,0
1232,2089,6128
1232,8004,4037
2089,1232,2012
2089,2089,0
2089,1483,8102
8004,8456,5998
8004,8004,0
8004,1232,6128
1233,1233,0
1233,3003,0
1233,4971,12036
1233,5439,1997
4971,1233,1997
4971,3003,0
4971,4971,0
4971,8054,12036
5439,9144,4014
5439,1233,12036
5439,3003,0
5439,5439,0
1234,1234,0
1234,5269,1946
5269,1234,2047
5269,5269,0
5269,4423,1946
1237,3729,8111
1237,4643,0
1237,7980,8173
1237,1237,0
3729,3729,0
3729,3026,10071
3729,4643,0
3729,1237,6090
7980,4643,0
7980,7980,0
7980,1237,8111
7980,4388,6172
1241,8258,4022
1241,7106,4042
1241,9028,18046
1241,8518,1959
1241,5191,2001
1241,4106,10134
1241,5195,78523
1241,2890,2125
1241,6319,3876
1241,5013,0
1241,1241,0
1241,8506,160291
8258,1241,4049
8258,8258,0
8258,8611,4022
7106,1241,2045
7106,7106,0
7106,6131,2004
9028,1241,8009
9028,6443,0
9028,9028,0
9028,8325,1989
8518,1241,7954
8518,5972,1959
8518,8518,0
5191,1241,1989
5191,410,4017
5191,5191,0
4106,1241,0
4106,4106,0
4106,1406,18295
2890,1241,4000
2890,2890,0
2890,9109,0
6319,1241,42228
6319,6319,0
6319,1695,3876
5013,1241,2095
5013,5013,0
8506,6722,30180
8506,5861,20957
8506,133,45139
8506,5417,2043
8506,2507,180822
8506,2064,0
8506,4049,1971
8506,8465,2788
8506,7865,0
8506,2195,0
8506,7189,138577
8506,1207,0
8506,1241,26167
8506,8506,0
2341,1242,0
2341,2341,0
2341,4111,5939
1243,7032,1957
1243,1243,0
1243,1923,2050
7032,7032,0
7032,1243,2050
1923,6961,4096
1923,1243,1968
1923,1923,0
1244,4567,24053
1244,1244,0
1244,7351,2037
4567,3937,2014
4567,1244,2037
4567,4567,0
1245,1245,0
1245,9004,3990
1245,8109,2031
9004,1844,4048
9004,1245,2031
9004,9004,0
8109,1245,1966
8109,541,0
8109,8109,0
1246,2985,0
1246,1246,0
1246,2750,4032
2985,8928,1994
2985,2985,0
2985,1246,2037
2750,4328,2031
2750,1262,0
2750,4531,18103
2750,4283,8251
2750,60,0
2750,1246,0
2750,2750,0
2750,9055,5955
1247,1560,4037
1247,3609,2018
1247,1247,0
1560,1560,0
1560,5824,6023
1560,1247,2018
3609,3609,0
3609,1247,2024
1248,1248,0
1248,3995,7967
1248,6381,3984
3995,1248,3984
3995,3995,0
3995,2462,7967
6381,1248,5992
6381,867,0
6381,7467,2005
6381,6347,7962
6381,6381,0
6381,3415,0
6381,3517,0
1249,1249,0
1249,3739,13912
1249,3543,3953
3739,1249,3953
3739,2378,10007
3739,3739,0
3543,1249,12002
3543,1318,7998
3543,8998,34520
3543,821,10139
3543,3543,0
3543,4569,2060
125,8700,0
125,125,0
125,4727,3940
8700,2331,0
8700,8700,0
8700,125,2004
4727,6930,3940
4727,125,2153
4727,4727,0
1250,2649,7951
1250,1641,4007
1250,1250,0
