nodeID,in,out
2722,4056,4110
2723,12082,20064
2725,5986,6009
2728,0,1982
2729,10088,8007
273,2065,4073
2730,5989,8066
2732,10140,10159
2734,32264,28187
2735,1979,4028
2736,5955,1967
2739,14108,14223
2740,0,1962
2742,6027,2089
2743,4015,4089
2744,22151,28046
2745,0,2012
2747,4005,2013
275,13936,15972
2750,38457,34340
2751,8193,10169
2752,6039,3962
2753,4095,2078
2754,4064,6120
2756,4052,4052
2757,0,2053
2758,10122,6102
2759,0,1957
2762,6098,0
2764,6022,6035
2765,4042,5988
2767,0,2091
2768,2035,0
277,0,2023
2770,194027,192066
2771,2041,0
2772,0,2065
2774,1947,3927
278,2040,2018
2781,0,1977
2782,2049,1935
2783,4081,6078
2786,0,2077
2788,0,1989
279,22366,20221
2791,6022,6057
2795,9741,4011
2796,7991,10049
2797,0,1912
2799,9951,8042
28,4060,1994
2800,6143,8129
2801,4161,2060
2803,4095,4095
2805,9963,11985
2807,8139,8077
2809,3978,5913
2810,4004,6027
2814,5950,8053
2819,1986,2030
282,4017,4027
2820,5973,5989
2821,2002,2000
2822,25879,21902
2825,14220,16190
2826,0,1997
2828,10143,8192
2829,10024,11945
2837,9892,7947
2839,10057,8016
2842,1999,2002
2843,2816,0
2845,72311,70326
2847,10090,10140
2848,6001,6025
2850,38084,46166
2851,0,1937
2853,8108,6018
2854,1882,2009
2857,6010,2043
286,11948,7952
2864,4009,8001
2865,518435,512482
2867,3919,3937
2869,2035,1996
287,8110,6133
2870,18320,20386
2871,6034,8098
2873,12087,12096
2874,4088,0
2877,0,2035
2878,1959,2034
2879,36344,38357
288,4034,2020
2880,2010,2008
2883,1952,3890
2884,2041,1944
2885,34396,40436
2887,4018,6027
289,6018,7998
2890,4153,4000
2893,9900,11948
2894,2023,1969
2896,3932,4018
2897,6022,7876
2898,12028,12025
2899,6131,3999
29,0,8029
2900,4045,2100
2902,12108,12144
2904,6032,8064
2905,22209,24277
2906,8000,5992
2909,0,2026
2911,14038,16019
2913,3980,1931
2914,7960,2044
2915,14053,14195
2917,16137,14080
2918,15937,13975
2919,7964,10024
2920,10041,5979
2925,2053,2803
2926,2121,1979
2928,12058,12119
2929,0,0
293,1947,0
2930,15925,6065
2933,226096,224035
2935,2004,3989
2936,4096,4096
2937,0,0
2938,11985,9993
294,508411,508411
2940,8157,10202
2941,12076,10046
2943,2057,4061
2946,0,0
2947,8071,10115
2948,2015,1973
2949,15945,15975
295,0,2082
2950,10070,12123
2951,102570,102553
2954,1991,4023
2956,5901,5930
2958,2091,2055
2959,1979,4100
296,0,2049
2960,0,1955
2964,6171,8240
2966,20107,18031
2967,2009,4049
2971,0,4034
2972,8066,4014
2973,0,2089
2974,0,2090
2976,0,2002
2977,10170,12087
2978,4884,2826
2983,0,2041
2985,2037,4031
2988,8029,8002
2989,0,0
299,1972,1980
2991,1940,1988
2994,15994,17941
2995,0,2049
2997,0,2049
2998,2082,1985
3,8162,10140
30,6050,4034
3001,344089,339948
3002,4014,5901
3003,629711,617655
3004,0,1999
3005,16004,16021
3006,2076,2055
3007,11992,11997
3008,5957,7943
301,16897,16928
3011,10185,12222
3012,40027,40027
3013,32353,32380
3015,4014,3933
3016,124529,126552
3017,16348,18388
3018,2061,2005
3022,6093,4136
3023,10197,1987
3024,0,1998
3025,8012,9989
3026,46454,47252
3028,34387,34315
3029,2011,3995
303,56102,56102
3031,1985,4045
3033,4041,4094
3034,70508,70453
3036,1965,2000
3039,0,2000
3040,1894,1894
3041,15831,17858
3042,2038,0
3043,5967,7985
3045,14230,8061
3048,14041,16027
305,461728,452768
3056,7949,5905
306,2052,2043
307,201732,197754
3070,12289,10232
3071,3981,5996
3073,4040,6093
3074,7940,5971
3078,6022,8036
3079,2093,2029
3082,0,2064
3084,0,2002
3085,0,0
3089,0,2037
3091,2039,1954
3092,22387,20299
3097,20090,22048
3098,8146,8146
3100,4038,4038
3101,38015,35998
3102,5948,3924
3104,3997,4131
3105,3985,1958
3106,7980,5991
3107,3947,5937
3110,2037,4026
3111,792,1981
3114,288766,282692
3115,7988,7988
3118,6015,5947
3119,8011,10046
312,0,1997
3120,4145,1988
3121,0,1992
3122,1953,0
3123,4034,2004
3125,8052,10146
313,10112,8168
3131,1961,1979
3138,4033,2046
3139,0,2062
314,4054,4042
3140,4113,4060
3141,0,1940
3144,16204,24266
3145,8111,10077
3146,6097,6035
315,1989,2028
3151,0,0
3152,0,1958
3153,6037,8017
3154,10152,12078
3155,0,2044
3156,26196,34337
3159,8036,3918
3160,3993,4032
3162,72316,70276
3165,3983,6099
3166,3969,2079
3167,47806,41991
3169,10063,12144
3170,2033,2018
3171,1985,1990
3172,0,0
3173,4070,2040
3175,0,2027
3176,0,2015
3177,14061,12871
3179,33255,35230
318,0,0
3180,2054,2003
3181,0,2015
3183,2060,3931
3186,11875,13935
3188,0,2030
3189,14191,16248
3190,0,1985
3191,6090,1945
3192,6129,6042
3193,2021,4072
3195,4117,6232
3196,5950,5943
3197,0,1968
3199,2005,1938
3203,0,1963
3206,4044,1971
3207,8087,10066
321,30049,29976
3211,16023,11985
3213,4003,6003
3214,2008,1991
3215,0,1978
3217,2060,2044
3218,3971,6056
3220,2017,0
3221,8118,8078
3222,10162,12147
3223,2002,0
3224,7953,8058
3231,3961,3967
3233,4059,1999
3235,2017,3920
3236,4080,6183
3237,213256,219338
3238,4791,0
3239,6027,8140
324,4067,6111
3244,4066,6049
3245,3990,4047
3247,8036,8036
3248,54121,54141
3249,8033,7986
325,24073,20180
3250,2014,1916
3251,0,2030
3255,9969,7881
3256,5902,7850
3257,0,8021
326,0,1915
3260,18139,26245
3262,56277,54317
3263,2068,4108
3266,6060,4037
3268,2035,2013
3270,18081,8164
3271,7961,3930
3278,4068,4041
3279,8002,8078
3280,8096,8166
3284,3988,6013
3288,16016,18047
3289,8160,8129
3291,7889,7941
3293,10244,12272
3294,1995,4045
3296,4051,6000
3297,10087,12042
3298,68287,68305
3300,10167,10183
3302,2046,2027
3305,0,1973
3306,10069,10152
3307,13872,13945
3309,18173,14145
331,16139,18219
3311,0,1952
3312,11842,13873
3319,4004,6015
3322,2045,2069
3324,1976,2017
3326,2000,4116
3327,6056,6078
3329,0,1971
333,214736,210632
3331,30250,32273
3336,26290,16301
3337,118471,126599
3338,1987,2030
334,0,2047
3340,4018,4003
3344,1987,3971
3347,4025,6039
335,7970,7976
3352,30714,28718
3353,6046,8126
3354,9818,3980
3356,4070,0
3357,6156,8108
3358,0,1994
336,9898,9989
3360,12057,14087
3363,3968,4010
3364,0,1971
3365,14004,16098
3368,0,0
3370,20215,18268
3371,0,1963
3372,0,2021
3373,1992,3990
3374,3997,2010
3375,36275,34387
3377,5972,5930
3379,1961,1992
3380,0,0
3382,0,2011
3383,6138,6138
3385,0,0
3386,2003,3955
3388,46540,42605
3389,2036,4030
339,8073,8022
3390,6168,6062
3391,12097,14088
3395,11932,11957
3397,2076,2037
3399,6094,2009
340,6102,4178
3400,2067,1930
3401,0,1969
3403,36088,38056
3404,12201,14265
3406,2095,2082
3408,16178,8107
3415,3979,6055
3416,0,0
3420,8028,10032
3421,0,2019
3422,4006,2060
3423,51647,33896
3426,7962,8025
3428,2000,0
343,1981,3968
3431,48004,48004
3432,7980,10032
3433,3987,4043
3435,2037,0
3439,82599,80593
3440,11995,13998
3441,0,0
3442,0,2037
3443,68587,64445
3445,0,1976
3446,34376,32555
3447,2011,4024
3449,3967,5956
3451,6046,4072
3454,2030,2020
3455,2024,4064
3456,3953,6022
3457,18142,20130
3459,15915,13874
346,36349,36295
3460,2004,2034
3466,8129,6127
3467,46189,48198
3468,10020,10098
3469,2892,2000
3473,0,1952
3474,6020,6013
3475,6098,8110
3476,6068,6015
3479,0,1991
3482,8262,8221
3484,1996,2025
3486,16190,18213
3487,0,1982
3488,22453,22453
3489,1940,1933
349,19070,24965
3490,10097,10097
3493,5867,7858
3495,0,2026
3496,10009,13969
3499,1943,1944
35,0,0
3501,8039,8051
3502,1999,4015
3503,0,0
3510,10161,12152
3511,0,0
3512,12170,10196
3513,0,2054
3514,20177,13981
3515,146925,132632
3516,2011,4099
3517,0,0
352,10191,12218
3522,2061,1967
3524,50188,46137
3526,4019,2007
3527,1958,1958
3528,4021,2006
3529,0,1975
353,2023,1931
3530,4026,3954
3534,225734,219677
3537,14195,12166
3538,4017,4070
3540,62143,64070
3541,70547,68587
3542,27947,25959
3543,70699,66719
3546,4040,1987
3548,0,2021
3549,8050,6093
355,4017,2002
3550,2032,1988
3551,0,2082
3552,9944,4036
3558,11005,4892
356,5950,2014
3560,2037,4077
