nodeID1,nodeID2,utilisation
1132,4643,0
1132,1132,0
1132,7374,38329
910,4643,0
910,6229,40375
910,910,0
7374,4643,0
7374,5532,40410
7374,7374,0
1133,2633,5912
1133,1133,0
1133,5783,0
2633,792,11739
2633,2633,0
5783,5533,7892
5783,5783,0
1134,7418,4000
1134,1134,0
7418,7418,0
7418,8787,10105
1136,6064,0
1136,1136,0
6064,4682,28236
6064,4202,2035
6064,6064,0
6064,5712,1986
6064,821,133134
1137,5312,8049
1137,1137,0
1137,8026,8026
5312,5312,0
5312,4959,12015
8026,2729,12010
8026,8026,0
1138,1138,0
1138,2899,6043
1138,4670,5894
2899,6874,8175
2899,2899,0
4670,6394,0
4670,4670,0
1139,3195,8293
1139,1139,0
3195,4424,6178
3195,3195,0
1140,4827,4060
1140,1140,0
4827,5251,42238
4827,8682,16147
4827,7661,138800
4827,9200,20032
4827,914,56294
4827,5748,15990
4827,4827,0
1143,1143,0
1146,5513,6191
1146,1146,0
1146,7273,10325
5513,5513,0
5513,6230,6241
7273,7273,0
1149,1149,0
1149,4509,2059
1149,8855,8196
4509,4509,0
4509,862,0
8855,7939,18048
8855,3,12140
8855,9042,60513
8855,1171,22096
8855,8855,0
1151,4643,0
1151,596,9949
1151,1151,0
1151,5471,1965
596,4643,0
596,2459,18138
596,596,0
5471,8072,0
5471,4643,0
5471,5471,0
1154,2994,18064
1154,1154,0
1154,6263,7954
2994,2994,0
2994,1317,24027
2994,3102,9934
6263,4963,11900
6263,6263,0
1155,5905,3998
1155,1155,0
5905,5905,0
5905,2287,7900
1156,1254,2087
1156,1156,0
1156,6782,8124
1254,1254,0
6782,4518,50370
6782,6759,15872
6782,3590,1969
6782,7853,27863
6782,6803,6275
6782,5878,34247
6782,7254,2107
6782,4822,5976
6782,6782,0
1157,3003,0
1157,1861,56215
1157,1157,0
1157,6959,46184
1861,1861,0
1861,7502,56215
6959,5888,48191
6959,6959,0
1163,3041,27783
1163,5418,23869
1163,4643,0
1163,1163,0
3041,3041,0
3041,4643,0
3041,6940,25756
5418,4643,0
5418,5418,0
5418,4921,4086
5418,3162,36211
5418,860,0
5418,1754,2085
1165,8162,18133
1165,1165,0
1165,3950,10232
8162,8162,0
8162,7332,18025
3950,9088,14336
3950,3950,0
1166,3931,0
1166,6195,9961
1166,1166,0
1166,6975,14032
6195,4321,7951
6195,3931,0
6195,6195,0
6975,3931,0
6975,6975,0
117,7050,10107
117,9107,7984
117,117,0
7050,1425,8136
7050,7050,0
9107,9107,0
9107,518,5989
1170,1170,0
1170,2765,6071
1170,3079,6215
2765,2765,0
2765,2527,9963
3079,3079,0
1171,1171,0
1172,4467,14061
1172,1172,0
1172,3671,8071
4467,4467,0
3671,2227,8070
3671,3671,0
1175,841,8130
1175,1175,0
841,841,0
1176,1176,0
1176,9074,4146
9074,808,11945
9074,9074,0
9074,8551,26134
1177,1177,0
1177,127,4042
127,449,7929
127,7012,1978
127,421,0
127,6118,9969
127,8615,2013
127,4425,81937
127,1449,1975
127,3502,1999
127,1744,19895
127,432,0
127,7795,22225
127,6675,2006
127,6580,2038
127,8798,82572
127,127,0
1179,1179,0
1179,4134,3910
4134,4134,0
118,7122,4146
118,7778,3994
118,118,0
7122,7122,0
7122,8730,4074
7778,7145,5853
7778,7778,0
1180,1180,0
1180,9119,0
9119,2774,5874
9119,9119,0
1183,5178,3992
1183,1183,0
5178,1698,13995
5178,5178,0
1184,1184,0
1184,5495,3980
5495,3846,2022
5495,1866,14111
5495,6127,18346
5495,1872,204052
5495,1488,119019
5495,6227,10096
5495,1334,16137
5495,5495,0
1187,1187,0
1187,1508,13981
1187,4311,13982
1508,2017,1986
1508,1508,0
1508,229,18255
1508,307,352789
1508,3449,5973
