src,dest,send_count,send_count2,total
218,1250,0.0,878.0,878
218,1394,0.0,3552.0,3552
218,3388,0.0,4415.0,4415
218,4359,0.0,16101.0,16101
218,4462,0.0,5450.0,5450
218,4991,28571.0,37269.0,65840
219,2591,858.0,0.0,858
220,31,0.0,831.0,831
220,2244,1710.0,0.0,1710
221,3317,0.0,1785.0,1785
221,4694,2701.0,0.0,2701
222,1514,866.0,0.0,866
223,4690,895.0,0.0,895
224,1244,909.0,923.0,1832
224,1389,923.0,0.0,923
225,64,910.0,0.0,910
226,336,0.0,4471.0,4471
226,3556,5361.0,0.0,5361
227,307,0.0,1831.0,1831
227,554,2722.0,0.0,2722
228,589,0.0,901.0,901
228,3104,1803.0,0.0,1803
229,2723,917.0,0.0,917
230,604,0.0,2674.0,2674
230,2317,3592.0,0.0,3592
231,1361,1772.0,0.0,1772
231,1426,0.0,887.0,887
232,2439,8127.0,0.0,8127
232,4327,0.0,7236.0,7236
233,325,6311.0,0.0,6311
233,1755,0.0,5433.0,5433
234,2074,1731.0,0.0,1731
234,3377,0.0,881.0,881
235,1968,916.0,0.0,916
236,2614,1784.0,0.0,1784
236,2863,0.0,916.0,916
237,4835,1780.0,0.0,1780
237,5200,0.0,878.0,878
238,2223,923.0,0.0,923
239,3265,910.0,0.0,910
240,1556,1756.0,0.0,1756
240,3947,0.0,858.0,858
241,3579,0.0,900.0,900
241,5007,1776.0,0.0,1776
242,1756,2672.0,0.0,2672
242,2173,0.0,1768.0,1768
243,2098,2668.0,0.0,2668
243,2299,0.0,1811.0,1811
244,121,0.0,925.0,925
244,4947,1849.0,0.0,1849
245,1550,905.0,0.0,905
246,108,0.0,1827.0,1827
246,2635,2730.0,0.0,2730
247,2654,3611.0,0.0,3611
247,4393,0.0,2701.0,2701
248,1364,0.0,908.0,908
248,3703,1797.0,0.0,1797
249,692,0.0,909.0,909
249,1645,1818.0,0.0,1818
250,1591,0.0,3602.0,3602
250,3862,4482.0,0.0,4482
251,2555,0.0,862.0,862
251,3741,1772.0,0.0,1772
252,1091,3605.0,0.0,3605
252,2421,0.0,2690.0,2690
253,2437,877.0,0.0,877
254,2068,2724.0,0.0,2724
254,3002,0.0,1829.0,1829
255,682,1806.0,0.0,1806
255,2315,0.0,894.0,894
256,212,0.0,1770.0,1770
256,786,0.0,3590.0,3590
256,912,0.0,2705.0,2705
256,1361,19639.0,0.0,19639
256,1832,1774.0,0.0,1774
256,2075,0.0,1809.0,1809
256,2826,0.0,2609.0,2609
256,3730,0.0,3595.0,3595
256,3990,0.0,3571.0,3571
256,4396,0.0,897.0,897
257,2151,0.0,2666.0,2666
257,3426,3512.0,0.0,3512
258,2148,911.0,0.0,911
259,2901,1840.0,0.0,1840
259,3669,0.0,914.0,914
260,1162,1799.0,0.0,1799
260,3008,0.0,889.0,889
261,1156,898.0,0.0,898
262,2688,894.0,0.0,894
263,1855,0.0,7119.0,7119
263,4682,8026.0,0.0,8026
264,23,901.0,0.0,901
265,4164,0.0,2652.0,2652
265,5183,3548.0,0.0,3548
266,1676,0.0,8893.0,8893
266,1938,9799.0,0.0,9799
267,1271,0.0,878.0,878
267,3886,1752.0,0.0,1752
268,1161,1800.0,0.0,1800
268,1812,0.0,902.0,902
269,879,0.0,883.0,883
269,2526,1776.0,0.0,1776
270,1584,0.0,1798.0,1798
270,2698,2689.0,0.0,2689
271,816,0.0,5410.0,5410
271,4327,6324.0,0.0,6324
272,1722,0.0,935.0,935
272,3613,1830.0,0.0,1830
273,2600,3593.0,0.0,3593
273,4576,0.0,2732.0,2732
274,449,0.0,2668.0,2668
274,1460,0.0,1775.0,1775
274,1819,0.0,909.0,909
274,4324,6241.0,0.0,6241
275,787,920.0,0.0,920
276,1507,863.0,0.0,863
277,3005,0.0,3584.0,3584
277,5224,4498.0,0.0,4498
278,2624,1785.0,0.0,1785
278,5165,0.0,919.0,919
279,2640,0.0,1786.0,1786
279,5137,2669.0,0.0,2669
280,2951,911.0,0.0,911
281,1377,0.0,881.0,881
281,1627,1794.0,0.0,1794
282,1496,0.0,883.0,883
282,1634,1765.0,0.0,1765
283,540,0.0,5322.0,5322
283,1074,6246.0,0.0,6246
284,908,32897.0,0.0,32897
284,1455,0.0,32032.0,32032
285,4750,870.0,0.0,870
286,1987,918.0,0.0,918
287,664,3502.0,0.0,3502
287,3962,0.0,2638.0,2638
288,630,0.0,1755.0,1755
288,3770,2644.0,0.0,2644
289,1659,3594.0,0.0,3594
289,2976,0.0,2686.0,2686
290,3351,854.0,0.0,854
291,5116,875.0,0.0,875
292,2492,891.0,0.0,891
293,1822,917.0,0.0,917
294,1988,875.0,0.0,875
295,4291,0.0,872.0,872
295,4863,1765.0,0.0,1765
296,12,0.0,5420.0,5420
296,88,14315.0,0.0,14315
296,3417,0.0,7144.0,7144
296,3574,0.0,847.0,847
297,3012,0.0,1728.0,1728
297,4468,2616.0,0.0,2616
298,2332,899.0,0.0,899
299,153,0.0,3591.0,3591
299,332,0.0,1790.0,1790
299,1730,9881.0,6263.0,16144
299,2077,0.0,1786.0,1786
299,3328,0.0,3631.0,3631
299,3346,9848.0,42088.0,51936
299,4100,0.0,925.0,925
299,4433,0.0,923.0,923
299,4596,0.0,2621.0,2621
300,450,0.0,860.0,860
300,3305,1744.0,0.0,1744
301,2788,3622.0,0.0,3622
301,2825,0.0,2727.0,2727
302,2046,899.0,0.0,899
303,497,913.0,0.0,913
304,560,0.0,909.0,909
304,1295,0.0,1725.0,1725
304,2074,5240.0,0.0,5240
304,3444,0.0,835.0,835
304,3922,0.0,879.0,879
305,2266,0.0,1794.0,1794
305,4688,2681.0,0.0,2681
306,2621,0.0,899.0,899
306,4890,1788.0,0.0,1788
307,227,1831.0,0.0,1831
307,2937,0.0,914.0,914
308,1479,3611.0,0.0,3611
308,5215,0.0,2685.0,2685
309,1452,1833.0,0.0,1833
309,3546,0.0,908.0,908
310,1730,1733.0,0.0,1733
310,2907,0.0,872.0,872
311,1561,1719.0,0.0,1719
311,4078,0.0,837.0,837
312,360,0.0,1801.0,1801
312,5161,2679.0,0.0,2679
313,3827,916.0,0.0,916
314,3022,0.0,909.0,909
314,5105,1783.0,0.0,1783
315,1266,1826.0,0.0,1826
315,3645,0.0,907.0,907
316,948,2693.0,0.0,2693
316,3850,0.0,1782.0,1782
317,652,0.0,1806.0,1806
317,4314,2700.0,0.0,2700
318,2,2720.0,0.0,2720
318,5086,0.0,1806.0,1806
319,696,3585.0,0.0,3585
319,3369,3621.0,0.0,3621
319,3454,0.0,5419.0,5419
319,4538,0.0,905.0,905
320,2936,0.0,2653.0,2653
320,4027,3549.0,0.0,3549
321,4067,4515.0,0.0,4515
321,5102,0.0,3619.0,3619
322,539,889.0,0.0,889
323,3216,2641.0,0.0,2641
323,3745,0.0,1800.0,1800
324,529,0.0,2660.0,2660
324,783,3564.0,0.0,3564
325,233,0.0,6311.0,6311
325,439,25131.0,0.0,25131
325,1098,0.0,17918.0,17918
326,2576,0.0,1782.0,1782
326,4357,2615.0,0.0,2615
327,1656,0.0,868.0,868
327,1899,1782.0,0.0,1782
328,2422,2711.0,0.0,2711
328,4810,0.0,1809.0,1809
329,187,881.0,0.0,881
330,481,862.0,0.0,862
331,650,1716.0,0.0,1716
331,4268,0.0,872.0,872
332,157,0.0,908.0,908
332,299,1790.0,0.0,1790
333,1535,0.0,882.0,882
333,2811,1803.0,0.0,1803
334,439,3589.0,0.0,3589
334,4579,0.0,2682.0,2682
335,169,0.0,3623.0,3623
335,4101,4525.0,0.0,4525
336,226,4471.0,0.0,4471
336,3153,0.0,3593.0,3593
337,2679,0.0,2675.0,2675
337,3201,3577.0,0.0,3577
338,3570,847.0,0.0,847
339,2158,0.0,5451.0,5451
339,2659,6327.0,0.0,6327
340,1110,0.0,869.0,869
340,2400,1763.0,0.0,1763
341,897,0.0,829.0,829
341,1730,1734.0,0.0,1734
342,93,0.0,1800.0,1800
342,357,0.0,4405.0,4405
342,428,0.0,2706.0,2706
342,1828,30377.0,0.0,30377
342,4626,0.0,18770.0,18770
342,5192,0.0,1785.0,1785
343,2313,2659.0,0.0,2659
343,4644,0.0,1767.0,1767
344,3131,3508.0,0.0,3508
344,4898,0.0,2624.0,2624
345,378,0.0,3630.0,3630
345,3204,4515.0,0.0,4515
346,2445,2709.0,0.0,2709
346,3575,0.0,1811.0,1811
347,1863,1794.0,0.0,1794
347,4138,0.0,925.0,925
348,4665,3541.0,0.0,3541
348,5205,0.0,2636.0,2636
349,3863,0.0,3624.0,3624
349,4408,4522.0,0.0,4522
350,158,0.0,2731.0,2731
350,3762,3619.0,0.0,3619
351,2091,896.0,0.0,896
352,2418,1765.0,0.0,1765
352,4473,0.0,886.0,886
353,1988,917.0,0.0,917
354,672,888.0,0.0,888
355,1459,872.0,0.0,872
356,505,0.0,2713.0,2713
356,1867,3600.0,0.0,3600
357,342,4405.0,0.0,4405
357,2448,0.0,3521.0,3521
358,2361,867.0,0.0,867
359,696,1770.0,0.0,1770
359,1567,0.0,893.0,893
360,312,1801.0,0.0,1801
360,2366,0.0,894.0,894
361,1450,0.0,3657.0,3657
361,1508,4568.0,0.0,4568
362,1777,1811.0,0.0,1811
362,4118,0.0,920.0,920
363,3604,913.0,0.0,913
364,14,1783.0,0.0,1783
364,4746,0.0,915.0,915
365,1783,0.0,864.0,864
365,4052,1778.0,0.0,1778
366,493,1770.0,0.0,1770
366,2996,0.0,896.0,896
367,603,3663.0,0.0,3663
367,3613,0.0,2742.0,2742
368,467,856.0,0.0,856
369,623,894.0,0.0,894
370,39,0.0,2660.0,2660
370,1354,3578.0,0.0,3578
371,195,0.0,1812.0,1812
371,2423,17057.0,4427.0,21484
371,2693,0.0,3620.0,3620
371,2778,5324.0,1792.0,7116
371,3259,0.0,3576.0,3576
371,3596,0.0,2718.0,2718
371,3684,0.0,908.0,908
371,3879,0.0,2641.0,2641
372,454,914.0,0.0,914
373,4413,0.0,2727.0,2727
373,4851,3624.0,0.0,3624
374,431,0.0,1759.0,1759
374,1477,2675.0,0.0,2675
375,1780,2638.0,0.0,2638
375,2208,0.0,1775.0,1775
376,4676,0.0,899.0,899
376,5172,1810.0,0.0,1810
377,3750,0.0,887.0,887
377,4742,1748.0,0.0,1748
378,345,3630.0,0.0,3630
378,3775,0.0,2709.0,2709
379,3719,886.0,0.0,886
380,182,1785.0,0.0,1785
380,769,0.0,898.0,898
381,2530,0.0,906.0,906
381,3677,1777.0,0.0,1777
382,151,3565.0,0.0,3565
382,2676,0.0,2666.0,2666
383,73,0.0,900.0,900
383,4612,1829.0,0.0,1829
384,825,0.0,859.0,859
384,2936,1752.0,0.0,1752
385,2851,1798.0,0.0,1798
385,5141,0.0,887.0,887
386,3402,902.0,0.0,902
387,953,1776.0,0.0,1776
387,2690,0.0,867.0,867
388,2423,3578.0,0.0,3578
388,4658,0.0,2671.0,2671
389,167,0.0,2670.0,2670
389,2604,3536.0,0.0,3536
390,1550,0.0,1756.0,1756
390,4598,2642.0,0.0,2642
391,21,1833.0,0.0,1833
391,459,0.0,1833.0,1833
391,2237,878.0,0.0,878
392,4868,0.0,1792.0,1792
